episode,return,return_ma50
823,83.2846,211.4275
824,192.5723,210.6733
825,400.3858,217.9699
826,73.4819,212.6185
827,435.9942,220.5962
828,263.5980,222.0791
829,347.4898,226.2594
830,364.8248,230.7293
831,398.1780,235.9620
832,307.3271,238.1246
833,86.8820,233.6763
834,330.7054,236.4486
835,131.4363,233.5316
836,19.6299,227.7504
837,123.5149,225.0074
838,31.0392,220.0338
839,73.4001,216.3680
840,12.8021,211.4030
841,283.4452,213.1183
842,38.2790,209.0522
843,37.1417,205.1452
844,197.9475,204.9852
845,439.4997,210.0834
846,160.5285,209.0290
847,-1.2017,204.6492
848,33.2229,201.1507
849,270.6247,202.5402
850,69.4265,200.8207
851,220.7304,202.4752
852,176.2476,206.0131
853,163.4549,200.2795
854,261.1793,204.5610
855,345.6861,211.4708
856,277.5561,212.3299
857,152.2170,212.3565
858,94.2164,206.2641
859,-2.6915,201.9743
860,302.4707,208.0546
861,322.1667,210.4493
862,299.3308,207.2842
863,138.8299,206.3658
864,298.9417,207.4076
865,40.3384,199.8572
866,95.2266,193.4581
867,232.2364,193.0284
868,311.6287,192.2793
869,198.2974,193.6234
870,206.6073,196.1508
871,120.1997,196.6535
872,307.7150,195.3609
873,99.2765,195.6808
874,253.3430,196.8962
875,352.5022,195.9385
876,182.2770,198.1144
877,237.3134,194.1408
878,134.6063,191.5610
879,403.8640,192.6884
880,368.9287,192.7705
881,291.1763,190.6305
882,407.2564,192.6291
883,267.0398,196.2322
884,320.2693,196.0235
885,110.1466,195.5977
886,410.2371,203.4099
887,203.9745,205.0190
888,272.6985,209.8522
889,412.1105,216.6264
890,195.4901,220.2802
891,162.6614,217.8645
892,127.8027,219.6550
893,356.9894,226.0520
894,422.8202,230.5494
895,286.2409,227.4842
896,85.0267,225.9742
897,231.5620,230.6295
898,409.2348,238.1497
899,140.6344,235.5499
900,83.4335,235.8300
901,297.9601,237.3746
902,215.7851,238.1654
903,121.7375,237.3310
904,411.7212,240.3419
905,416.8521,241.7652
906,112.5682,238.4654
907,15.1307,235.7237
908,379.7753,241.4349
909,193.2162,245.3530
910,72.2902,240.7494
911,255.4222,239.4145
912,242.6687,238.2813
913,303.5000,241.5747
914,418.7912,243.9717
915,154.4768,246.2545
916,141.3606,247.1771
